,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0011497910000000111,1.0,200.0,200,0.1,1000
1,1,0.009051374999999862,26.0,402.0,200,0.1,1000
2,2,0.012472290999999913,28.0,604.0,200,0.1,1000
3,3,0.015896082999999894,31.0,806.0,200,0.1,1000
4,4,0.019238540999999998,31.0,1007.0,200,0.1,1000
5,5,0.022628457999999796,31.0,1208.0,200,0.1,1000
6,6,0.026102791000000014,32.0,1410.0,200,0.1,1000
7,7,0.029811957999999805,32.0,1611.0,200,0.1,1000
8,8,0.03318375000000007,36.0,1813.0,200,0.1,1000
9,9,0.03646620800000022,36.0,2014.0,200,0.1,1000
10,10,0.03991158299999986,36.0,2215.0,200,0.1,1000
11,11,0.045358290999999884,36.0,2416.0,200,0.1,1000
12,12,0.04867479099999983,36.0,2617.0,200,0.1,1000
13,13,0.0520437079999998,36.0,2818.0,200,0.1,1000
14,14,0.05577491599999984,36.0,3019.0,200,0.1,1000
15,15,0.05918620799999985,36.0,3220.0,200,0.1,1000
16,16,0.0627989160000002,36.0,3421.0,200,0.1,1000
17,17,0.06626612499999984,36.0,3622.0,200,0.1,1000
18,18,0.06980062500000006,36.0,3823.0,200,0.1,1000
19,19,0.07323691599999993,36.0,4024.0,200,0.1,1000
20,20,0.07652320800000023,36.0,4225.0,200,0.1,1000
21,21,0.07993199999999989,36.0,4426.0,200,0.1,1000
22,22,0.08345074999999991,36.0,4627.0,200,0.1,1000
23,23,0.08674187499999997,36.0,4828.0,200,0.1,1000
24,24,0.09033150000000001,36.0,5029.0,200,0.1,1000
25,25,0.09385695799999993,36.0,5230.0,200,0.1,1000
26,26,0.09751383299999983,36.0,5431.0,200,0.1,1000
27,27,0.10104583300000014,36.0,5632.0,200,0.1,1000
28,28,0.10457754099999983,36.0,5833.0,200,0.1,1000
29,29,0.10811870800000012,36.0,6034.0,200,0.1,1000
30,30,0.11162129100000007,36.0,6235.0,200,0.1,1000
31,31,0.1151307909999999,36.0,6436.0,200,0.1,1000
32,32,0.11857537499999982,36.0,6637.0,200,0.1,1000
33,33,0.12188949999999998,36.0,6838.0,200,0.1,1000
34,34,0.12520591600000008,36.0,7039.0,200,0.1,1000
35,35,0.12858583299999982,36.0,7240.0,200,0.1,1000
36,36,0.13200220799999984,36.0,7441.0,200,0.1,1000
37,37,0.135363833,36.0,7642.0,200,0.1,1000
38,38,0.13877650000000008,36.0,7843.0,200,0.1,1000
39,39,0.14217637500000002,36.0,8044.0,200,0.1,1000
40,40,0.14559233300000018,36.0,8245.0,200,0.1,1000
41,41,0.1489610830000001,36.0,8446.0,200,0.1,1000
42,42,0.1523747499999999,36.0,8647.0,200,0.1,1000
43,43,0.15575595799999986,36.0,8848.0,200,0.1,1000
44,44,0.15912658299999993,36.0,9049.0,200,0.1,1000
45,45,0.16252295799999983,36.0,9250.0,200,0.1,1000
46,46,0.16592862499999983,36.0,9451.0,200,0.1,1000
47,47,0.16938920800000012,36.0,9652.0,200,0.1,1000
48,48,0.17282362499999993,36.0,9853.0,200,0.1,1000
49,49,0.17622274999999998,36.0,10054.0,200,0.1,1000
50,50,0.1795921250000001,36.0,10255.0,200,0.1,1000
51,51,0.1831870000000002,36.0,10456.0,200,0.1,1000
52,52,0.18663316600000002,36.0,10657.0,200,0.1,1000
53,53,0.1900420829999998,36.0,10858.0,200,0.1,1000
54,54,0.1936394159999999,36.0,11059.0,200,0.1,1000
55,55,0.19708962499999982,36.0,11260.0,200,0.1,1000
56,56,0.20049745800000007,36.0,11461.0,200,0.1,1000
57,57,0.2039074580000002,36.0,11662.0,200,0.1,1000
58,58,0.20731066600000014,36.0,11863.0,200,0.1,1000
59,59,0.21072829100000012,36.0,12064.0,200,0.1,1000
60,60,0.21412895799999987,36.0,12265.0,200,0.1,1000
61,61,0.21788050000000014,36.0,12466.0,200,0.1,1000
62,62,0.22134879100000004,36.0,12667.0,200,0.1,1000
63,63,0.224774708,36.0,12868.0,200,0.1,1000
64,64,0.2281901249999998,36.0,13069.0,200,0.1,1000
65,65,0.2316296659999999,36.0,13270.0,200,0.1,1000
66,66,0.2350647910000001,36.0,13471.0,200,0.1,1000
67,67,0.23848400000000014,36.0,13672.0,200,0.1,1000
68,68,0.2419038750000002,36.0,13873.0,200,0.1,1000
69,69,0.2453337499999999,36.0,14074.0,200,0.1,1000
70,70,0.24883383299999995,36.0,14275.0,200,0.1,1000
71,71,0.252272375,36.0,14476.0,200,0.1,1000
72,72,0.25584516599999985,36.0,14677.0,200,0.1,1000
73,73,0.25959029099999986,36.0,14878.0,200,0.1,1000
74,74,0.26325762500000005,36.0,15079.0,200,0.1,1000
