,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00041208399989045574,1.0,10.0,True,10,0.4,1000
1,1,0.008653874999708933,9.0,22.0,True,10,0.4,1000
2,2,0.010156374999951367,9.0,33.0,True,10,0.4,1000
3,3,0.011520167000071524,9.0,44.0,True,10,0.4,1000
4,4,0.012845374999869819,9.0,55.0,True,10,0.4,1000
5,5,0.014134999999896536,9.0,66.0,True,10,0.4,1000
6,6,0.015425583999785886,9.0,77.0,True,10,0.4,1000
7,7,0.016697333999672992,9.0,88.0,True,10,0.4,1000
8,8,0.018089959000008093,9.0,99.0,True,10,0.4,1000
9,9,0.01954983399991761,9.0,110.0,True,10,0.4,1000
10,10,0.02081954200002656,9.0,121.0,True,10,0.4,1000
11,11,0.023991416999706416,9.0,132.0,True,10,0.4,1000
12,12,0.02529520899997806,9.0,143.0,True,10,0.4,1000
13,13,0.026591709000058472,9.0,154.0,True,10,0.4,1000
14,14,0.027878291999968496,9.0,165.0,True,10,0.4,1000
15,15,0.029163749999952415,9.0,176.0,True,10,0.4,1000
16,16,0.03044970899964028,9.0,187.0,True,10,0.4,1000
17,17,0.03177920899997844,9.0,198.0,True,10,0.4,1000
18,18,0.033191749999787135,9.0,209.0,True,10,0.4,1000
19,19,0.03463987499981158,9.0,220.0,True,10,0.4,1000
20,20,0.0360095419996469,9.0,231.0,True,10,0.4,1000
21,21,0.03732595899964508,9.0,242.0,True,10,0.4,1000
22,22,0.03863833399964278,9.0,253.0,True,10,0.4,1000
23,23,0.03998808400001508,9.0,264.0,True,10,0.4,1000
24,24,0.04134845899989159,9.0,275.0,True,10,0.4,1000
25,25,0.04284449999977369,9.0,286.0,True,10,0.4,1000
26,26,0.044254041999920446,9.0,297.0,True,10,0.4,1000
27,27,0.0457839169998806,9.0,308.0,True,10,0.4,1000
28,28,0.047408292000000074,9.0,319.0,True,10,0.4,1000
29,29,0.04889966699965953,9.0,330.0,True,10,0.4,1000
30,30,0.050327166999977635,9.0,341.0,True,10,0.4,1000
31,31,0.05207037499985745,9.0,352.0,True,10,0.4,1000
32,32,0.05367724999996426,9.0,363.0,True,10,0.4,1000
33,33,0.05504641700008506,9.0,374.0,True,10,0.4,1000
34,34,0.05640399999992951,9.0,385.0,True,10,0.4,1000
35,35,0.05774758400002611,9.0,396.0,True,10,0.4,1000
36,36,0.059158958999887545,9.0,407.0,True,10,0.4,1000
37,37,0.06049804199983555,9.0,418.0,True,10,0.4,1000
38,38,0.06180499999982203,9.0,429.0,True,10,0.4,1000
39,39,0.0632745419998173,9.0,440.0,True,10,0.4,1000
40,40,0.06496870899991336,9.0,451.0,True,10,0.4,1000
41,41,0.06635533400003624,9.0,462.0,True,10,0.4,1000
42,42,0.06766820899974846,9.0,473.0,True,10,0.4,1000
43,43,0.06895487499969022,9.0,484.0,True,10,0.4,1000
44,44,0.07024370899989663,9.0,495.0,True,10,0.4,1000
45,45,0.07152037500009101,9.0,506.0,True,10,0.4,1000
46,46,0.07279537499971411,9.0,517.0,True,10,0.4,1000
47,47,0.07427800000004936,9.0,528.0,True,10,0.4,1000
48,48,0.07568495899977279,9.0,539.0,True,10,0.4,1000
49,49,0.0772179169998708,9.0,550.0,True,10,0.4,1000
50,50,0.07863049999969007,9.0,561.0,True,10,0.4,1000
51,51,0.07994374999998399,9.0,572.0,True,10,0.4,1000
52,52,0.08123941699977877,9.0,583.0,True,10,0.4,1000
53,53,0.08253020899974217,9.0,594.0,True,10,0.4,1000
54,54,0.08400308399995993,9.0,605.0,True,10,0.4,1000
55,55,0.08547870899974441,9.0,616.0,True,10,0.4,1000
56,56,0.08680095899990192,9.0,627.0,True,10,0.4,1000
57,57,0.08808620899981179,9.0,638.0,True,10,0.4,1000
58,58,0.08936537499994301,9.0,649.0,True,10,0.4,1000
59,59,0.09064408399990498,9.0,660.0,True,10,0.4,1000
60,60,0.09195849999969141,9.0,671.0,True,10,0.4,1000
61,61,0.09324999999989814,9.0,682.0,True,10,0.4,1000
62,62,0.09453529199981858,9.0,693.0,True,10,0.4,1000
63,63,0.09583724999993137,9.0,704.0,True,10,0.4,1000
64,64,0.09714087499969537,9.0,715.0,True,10,0.4,1000
65,65,0.09851491699964754,9.0,726.0,True,10,0.4,1000
66,66,0.09998291700003392,9.0,737.0,True,10,0.4,1000
67,67,0.10134049999987838,9.0,748.0,True,10,0.4,1000
68,68,0.102636000000075,9.0,759.0,True,10,0.4,1000
69,69,0.10392233399988982,9.0,770.0,True,10,0.4,1000
70,70,0.10520262499994715,9.0,781.0,True,10,0.4,1000
71,71,0.10647995899989837,9.0,792.0,True,10,0.4,1000
72,72,0.10776179200001934,9.0,803.0,True,10,0.4,1000
73,73,0.10905258399998274,9.0,814.0,True,10,0.4,1000
74,74,0.11038220899990847,9.0,825.0,True,10,0.4,1000
75,75,0.11167516699970292,9.0,836.0,True,10,0.4,1000
76,76,0.1129401670000334,9.0,847.0,True,10,0.4,1000
77,77,0.114298499999677,9.0,858.0,True,10,0.4,1000
78,78,0.1156087919998754,9.0,869.0,True,10,0.4,1000
79,79,0.116931583999758,9.0,880.0,True,10,0.4,1000
80,80,0.11833237499968163,9.0,891.0,True,10,0.4,1000
81,81,0.11963699999978417,9.0,902.0,True,10,0.4,1000
82,82,0.1208944589998282,9.0,913.0,True,10,0.4,1000
83,83,0.12219612499984578,9.0,924.0,True,10,0.4,1000
84,84,0.12353325000003679,9.0,935.0,True,10,0.4,1000
85,85,0.12496191699983683,9.0,946.0,True,10,0.4,1000
86,86,0.12636945899976126,9.0,957.0,True,10,0.4,1000
87,87,0.12766262500008452,9.0,968.0,True,10,0.4,1000
88,88,0.12900066699967283,9.0,979.0,True,10,0.4,1000
89,89,0.13052074999995966,9.0,990.0,True,10,0.4,1000
90,90,0.13200570899971353,9.0,1001.0,True,10,0.4,1000
91,91,0.13338529199972982,9.0,1012.0,True,10,0.4,1000
92,92,0.1346912499998325,9.0,1023.0,True,10,0.4,1000
93,93,0.13634237499991286,9.0,1034.0,True,10,0.4,1000
94,94,0.137720624999929,9.0,1045.0,True,10,0.4,1000
95,95,0.13909195899987026,9.0,1056.0,True,10,0.4,1000
96,96,0.14035974999978862,9.0,1067.0,True,10,0.4,1000
97,97,0.14160450000008495,9.0,1078.0,True,10,0.4,1000
98,98,0.14284012500002063,9.0,1089.0,True,10,0.4,1000
99,99,0.1441431250000278,9.0,1100.0,True,10,0.4,1000
100,100,0.14551804199982143,9.0,1111.0,True,10,0.4,1000
101,101,0.1493328339997788,9.0,1122.0,True,10,0.4,1000
102,0,0.00041208399989045574,1.0,50.0,True,50,0.4,1000
103,1,0.008653874999708933,8.0,102.0,True,50,0.4,1000
104,2,0.010156374999951367,24.0,154.0,True,50,0.4,1000
105,3,0.011520167000071524,26.0,206.0,True,50,0.4,1000
106,4,0.012845374999869819,27.0,258.0,True,50,0.4,1000
107,5,0.014134999999896536,27.0,309.0,True,50,0.4,1000
108,6,0.015425583999785886,30.0,361.0,True,50,0.4,1000
109,7,0.016697333999672992,30.0,412.0,True,50,0.4,1000
110,8,0.018089959000008093,30.0,463.0,True,50,0.4,1000
111,9,0.01954983399991761,30.0,514.0,True,50,0.4,1000
112,10,0.02081954200002656,30.0,565.0,True,50,0.4,1000
113,11,0.023991416999706416,30.0,616.0,True,50,0.4,1000
114,12,0.02529520899997806,30.0,667.0,True,50,0.4,1000
115,13,0.026591709000058472,30.0,718.0,True,50,0.4,1000
116,14,0.027878291999968496,30.0,769.0,True,50,0.4,1000
117,15,0.029163749999952415,30.0,820.0,True,50,0.4,1000
118,16,0.03044970899964028,30.0,871.0,True,50,0.4,1000
119,17,0.03177920899997844,30.0,922.0,True,50,0.4,1000
120,18,0.033191749999787135,30.0,973.0,True,50,0.4,1000
121,19,0.03463987499981158,30.0,1024.0,True,50,0.4,1000
122,20,0.0360095419996469,30.0,1075.0,True,50,0.4,1000
123,21,0.03732595899964508,30.0,1126.0,True,50,0.4,1000
124,22,0.03863833399964278,30.0,1177.0,True,50,0.4,1000
125,23,0.03998808400001508,30.0,1228.0,True,50,0.4,1000
126,24,0.04134845899989159,30.0,1279.0,True,50,0.4,1000
127,25,0.04284449999977369,30.0,1330.0,True,50,0.4,1000
128,26,0.044254041999920446,30.0,1381.0,True,50,0.4,1000
129,27,0.0457839169998806,30.0,1432.0,True,50,0.4,1000
130,28,0.047408292000000074,30.0,1483.0,True,50,0.4,1000
131,29,0.04889966699965953,30.0,1534.0,True,50,0.4,1000
132,30,0.050327166999977635,30.0,1585.0,True,50,0.4,1000
133,31,0.05207037499985745,30.0,1636.0,True,50,0.4,1000
134,32,0.05367724999996426,30.0,1687.0,True,50,0.4,1000
135,33,0.05504641700008506,30.0,1738.0,True,50,0.4,1000
136,34,0.05640399999992951,30.0,1789.0,True,50,0.4,1000
137,35,0.05774758400002611,30.0,1840.0,True,50,0.4,1000
138,36,0.059158958999887545,30.0,1891.0,True,50,0.4,1000
139,37,0.06049804199983555,30.0,1942.0,True,50,0.4,1000
140,38,0.06180499999982203,30.0,1993.0,True,50,0.4,1000
141,39,0.0632745419998173,30.0,2044.0,True,50,0.4,1000
142,40,0.06496870899991336,30.0,2095.0,True,50,0.4,1000
143,41,0.06635533400003624,30.0,2146.0,True,50,0.4,1000
144,42,0.06766820899974846,30.0,2197.0,True,50,0.4,1000
145,43,0.06895487499969022,30.0,2248.0,True,50,0.4,1000
146,44,0.07024370899989663,30.0,2299.0,True,50,0.4,1000
147,45,0.07152037500009101,30.0,2350.0,True,50,0.4,1000
148,46,0.07279537499971411,30.0,2401.0,True,50,0.4,1000
149,47,0.07427800000004936,30.0,2452.0,True,50,0.4,1000
150,48,0.07568495899977279,30.0,2503.0,True,50,0.4,1000
151,49,0.0772179169998708,30.0,2554.0,True,50,0.4,1000
152,50,0.07863049999969007,30.0,2605.0,True,50,0.4,1000
153,51,0.07994374999998399,30.0,2656.0,True,50,0.4,1000
154,52,0.08123941699977877,30.0,2707.0,True,50,0.4,1000
155,53,0.08253020899974217,30.0,2758.0,True,50,0.4,1000
156,54,0.08400308399995993,30.0,2809.0,True,50,0.4,1000
157,55,0.08547870899974441,30.0,2860.0,True,50,0.4,1000
158,56,0.08680095899990192,30.0,2911.0,True,50,0.4,1000
159,57,0.08808620899981179,30.0,2962.0,True,50,0.4,1000
160,58,0.08936537499994301,30.0,3013.0,True,50,0.4,1000
161,59,0.09064408399990498,30.0,3064.0,True,50,0.4,1000
162,60,0.09195849999969141,30.0,3115.0,True,50,0.4,1000
163,61,0.09324999999989814,30.0,3166.0,True,50,0.4,1000
164,62,0.09453529199981858,30.0,3217.0,True,50,0.4,1000
165,63,0.09583724999993137,30.0,3268.0,True,50,0.4,1000
166,64,0.09714087499969537,30.0,3319.0,True,50,0.4,1000
167,65,0.09851491699964754,30.0,3370.0,True,50,0.4,1000
168,66,0.09998291700003392,30.0,3421.0,True,50,0.4,1000
169,67,0.10134049999987838,30.0,3472.0,True,50,0.4,1000
170,68,0.102636000000075,30.0,3523.0,True,50,0.4,1000
171,69,0.10392233399988982,30.0,3574.0,True,50,0.4,1000
172,70,0.10520262499994715,30.0,3625.0,True,50,0.4,1000
173,71,0.10647995899989837,30.0,3676.0,True,50,0.4,1000
174,72,0.10776179200001934,30.0,3727.0,True,50,0.4,1000
175,73,0.10905258399998274,30.0,3778.0,True,50,0.4,1000
176,74,0.11038220899990847,30.0,3829.0,True,50,0.4,1000
177,75,0.11167516699970292,30.0,3880.0,True,50,0.4,1000
178,76,0.1129401670000334,30.0,3931.0,True,50,0.4,1000
179,77,0.114298499999677,30.0,3982.0,True,50,0.4,1000
180,78,0.1156087919998754,30.0,4033.0,True,50,0.4,1000
181,79,0.116931583999758,30.0,4084.0,True,50,0.4,1000
182,80,0.11833237499968163,30.0,4135.0,True,50,0.4,1000
183,81,0.11963699999978417,30.0,4186.0,True,50,0.4,1000
184,82,0.1208944589998282,30.0,4237.0,True,50,0.4,1000
185,83,0.12219612499984578,30.0,4288.0,True,50,0.4,1000
186,84,0.12353325000003679,30.0,4339.0,True,50,0.4,1000
187,85,0.12496191699983683,30.0,4390.0,True,50,0.4,1000
188,86,0.12636945899976126,30.0,4441.0,True,50,0.4,1000
189,87,0.12766262500008452,30.0,4492.0,True,50,0.4,1000
190,88,0.12900066699967283,30.0,4543.0,True,50,0.4,1000
191,89,0.13052074999995966,30.0,4594.0,True,50,0.4,1000
