,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00046999999995023245,2761.0200486267336,10.0,True,10,0.1,95
1,1,0.10125862499990035,2355.8504697496664,22.0,True,10,0.1,95
2,2,0.2940811250000479,2355.8504697496664,33.0,True,10,0.1,95
3,3,0.4775727919995916,2355.8504697496664,44.0,True,10,0.1,95
4,4,0.6721210420000716,2355.8504697496664,55.0,True,10,0.1,95
5,5,0.8721397919998708,2355.8504697496664,66.0,True,10,0.1,95
6,6,1.0070266249995257,2355.8504697496664,77.0,True,10,0.1,95
7,7,1.1789530839996587,2355.8504697496664,88.0,True,10,0.1,95
8,8,1.3117080840002018,2355.8504697496664,99.0,True,10,0.1,95
9,9,1.514786458999879,2355.8504697496664,110.0,True,10,0.1,95
10,10,1.7395181249994494,2355.8504697496664,121.0,True,10,0.1,95
11,11,1.9248659169998064,2355.8504697496664,132.0,True,10,0.1,95
12,12,2.1059942089996184,2355.8504697496664,143.0,True,10,0.1,95
13,13,2.3247437499994703,2355.8504697496664,154.0,True,10,0.1,95
14,14,2.551359084000069,2355.8504697496664,165.0,True,10,0.1,95
15,15,2.7865708339995763,2355.8504697496664,176.0,True,10,0.1,95
16,16,2.977443624999978,2355.8504697496664,187.0,True,10,0.1,95
17,17,3.17854833399997,2355.8504697496664,198.0,True,10,0.1,95
18,18,3.364320666999447,2355.8504697496664,209.0,True,10,0.1,95
19,19,3.5388717089999773,2355.8504697496664,220.0,True,10,0.1,95
20,20,3.6643052089993944,2355.8504697496664,231.0,True,10,0.1,95
21,21,3.8410635840000396,2355.8504697496664,242.0,True,10,0.1,95
22,22,4.042306166999879,2355.8504697496664,253.0,True,10,0.1,95
23,23,4.1730386250001175,2355.8504697496664,264.0,True,10,0.1,95
24,24,4.356952833999458,2355.8504697496664,275.0,True,10,0.1,95
25,25,4.525863374999972,2355.8504697496664,286.0,True,10,0.1,95
26,26,4.753519124999912,2355.8504697496664,297.0,True,10,0.1,95
27,27,4.975316250000105,2355.8504697496664,308.0,True,10,0.1,95
28,28,5.197321458999795,2355.8504697496664,319.0,True,10,0.1,95
29,29,5.419521374999931,2355.8504697496664,330.0,True,10,0.1,95
30,30,5.652241624999988,2355.8504697496664,341.0,True,10,0.1,95
31,31,5.813200458999745,2355.8504697496664,352.0,True,10,0.1,95
32,32,5.954974124999353,2355.8504697496664,363.0,True,10,0.1,95
33,33,6.190395833999901,2355.8504697496664,374.0,True,10,0.1,95
34,34,6.321468334000201,2355.8504697496664,385.0,True,10,0.1,95
35,35,6.527100583999527,2355.8504697496664,396.0,True,10,0.1,95
36,36,6.689287749999494,2355.8504697496664,407.0,True,10,0.1,95
37,37,6.883012499999495,2355.8504697496664,418.0,True,10,0.1,95
38,38,7.034413999999742,2355.8504697496664,429.0,True,10,0.1,95
39,39,7.268207000000075,2355.8504697496664,440.0,True,10,0.1,95
40,40,7.4150968750000175,2355.8504697496664,451.0,True,10,0.1,95
41,41,7.602785666999807,2355.8504697496664,462.0,True,10,0.1,95
42,42,7.773033166999994,2355.8504697496664,473.0,True,10,0.1,95
43,43,7.927123041999948,2355.8504697496664,484.0,True,10,0.1,95
44,44,8.089859374999833,2355.8504697496664,495.0,True,10,0.1,95
45,45,8.24083462499948,2355.8504697496664,506.0,True,10,0.1,95
46,46,8.43497274999936,2355.8504697496664,517.0,True,10,0.1,95
47,47,8.632215708999865,2355.8504697496664,528.0,True,10,0.1,95
48,48,8.862236124999981,2355.8504697496664,539.0,True,10,0.1,95
49,49,9.051702041999306,2355.8504697496664,550.0,True,10,0.1,95
50,50,9.232287625000026,2355.8504697496664,561.0,True,10,0.1,95
51,51,9.438202083999386,2355.8504697496664,572.0,True,10,0.1,95
52,52,9.61618104199988,2355.8504697496664,583.0,True,10,0.1,95
53,53,9.764602792000005,2355.8504697496664,594.0,True,10,0.1,95
54,54,9.961695083999984,2355.8504697496664,605.0,True,10,0.1,95
55,55,10.139173999999912,2355.8504697496664,616.0,True,10,0.1,95
56,56,10.289591708999978,2355.8504697496664,627.0,True,10,0.1,95
57,57,10.458626541999365,2355.8504697496664,638.0,True,10,0.1,95
58,58,10.593271624999943,2355.8504697496664,649.0,True,10,0.1,95
59,59,10.785532083999897,2355.8504697496664,660.0,True,10,0.1,95
60,60,10.977486291999412,2355.8504697496664,671.0,True,10,0.1,95
61,61,11.179776250000032,2355.8504697496664,682.0,True,10,0.1,95
62,62,11.377113708999786,2355.8504697496664,693.0,True,10,0.1,95
