,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0002912500003731111,0.0,10.0,True,10,0.1,95
1,1,0.006255417000829766,1599.0,22.0,True,10,0.1,95
2,2,0.009596500000043306,1599.0,33.0,True,10,0.1,95
3,3,0.012568250000185799,1599.0,44.0,True,10,0.1,95
4,4,0.015299792000405432,1599.0,55.0,True,10,0.1,95
5,5,0.01821958300024562,1599.0,66.0,True,10,0.1,95
6,6,0.024661708000166982,1599.0,77.0,True,10,0.1,95
7,7,0.02748508300010144,1599.0,88.0,True,10,0.1,95
8,8,0.03150983300020016,1599.0,99.0,True,10,0.1,95
9,9,0.034865375000663335,1599.0,110.0,True,10,0.1,95
10,10,0.03791662500043458,1599.0,121.0,True,10,0.1,95
11,11,0.0435460000007879,1599.0,132.0,True,10,0.1,95
12,12,0.04637679200004641,1599.0,143.0,True,10,0.1,95
13,13,0.04926987500039104,1599.0,154.0,True,10,0.1,95
14,14,0.05213916700085974,1599.0,165.0,True,10,0.1,95
15,15,0.05513016700024309,1599.0,176.0,True,10,0.1,95
16,16,0.0631718330005242,1599.0,187.0,True,10,0.1,95
17,17,0.06666491700070765,1599.0,198.0,True,10,0.1,95
18,18,0.0700102920000063,1599.0,209.0,True,10,0.1,95
19,19,0.07324125000013737,1599.0,220.0,True,10,0.1,95
20,20,0.07666395800060855,1599.0,231.0,True,10,0.1,95
21,21,0.08486775000073976,1599.0,242.0,True,10,0.1,95
22,22,0.08813941700009309,1599.0,253.0,True,10,0.1,95
23,23,0.09121429200058628,1599.0,264.0,True,10,0.1,95
24,24,0.09442945800037705,1599.0,275.0,True,10,0.1,95
25,25,0.09740104200045607,1599.0,286.0,True,10,0.1,95
26,26,0.10313604200018744,1599.0,297.0,True,10,0.1,95
27,27,0.10596891700060951,1599.0,308.0,True,10,0.1,95
28,28,0.10920637500021257,1599.0,319.0,True,10,0.1,95
29,29,0.11246987500089745,1599.0,330.0,True,10,0.1,95
30,30,0.11570762500014098,1599.0,341.0,True,10,0.1,95
31,31,0.12358320800012734,1599.0,352.0,True,10,0.1,95
32,32,0.12677945800078305,1599.0,363.0,True,10,0.1,95
33,33,0.130072250000012,1599.0,374.0,True,10,0.1,95
34,34,0.13293516700014152,1599.0,385.0,True,10,0.1,95
35,35,0.13631200000054378,1599.0,396.0,True,10,0.1,95
36,36,0.14165641700037668,1599.0,407.0,True,10,0.1,95
37,37,0.14486854200004018,1599.0,418.0,True,10,0.1,95
38,38,0.1480416670001432,1599.0,429.0,True,10,0.1,95
39,39,0.1512088750005205,1599.0,440.0,True,10,0.1,95
40,40,0.15435366700057784,1599.0,451.0,True,10,0.1,95
41,41,0.1643375420007942,1599.0,462.0,True,10,0.1,95
42,42,0.1671650000007503,1599.0,473.0,True,10,0.1,95
43,43,0.1704092080008195,1599.0,484.0,True,10,0.1,95
44,44,0.1735653750001802,1599.0,495.0,True,10,0.1,95
45,45,0.17676741700051934,1599.0,506.0,True,10,0.1,95
46,46,0.1840674580007544,1599.0,517.0,True,10,0.1,95
47,47,0.18736600000011094,1599.0,528.0,True,10,0.1,95
48,48,0.19062174999999115,1599.0,539.0,True,10,0.1,95
49,49,0.19380708300013794,1599.0,550.0,True,10,0.1,95
