,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00017504200013718219,1.0,10.0,True,10,0.1,1000
1,1,0.004331459000241011,9.0,22.0,True,10,0.1,1000
2,2,0.00571837500001493,9.0,33.0,True,10,0.1,1000
3,3,0.007180666999829555,9.0,44.0,True,10,0.1,1000
4,4,0.00880887499988603,9.0,55.0,True,10,0.1,1000
5,5,0.010256250000111322,9.0,66.0,True,10,0.1,1000
6,6,0.012380042000131652,9.0,77.0,True,10,0.1,1000
7,7,0.013971625000067434,9.0,88.0,True,10,0.1,1000
8,8,0.015349959000104718,9.0,99.0,True,10,0.1,1000
9,9,0.016611625000223285,9.0,110.0,True,10,0.1,1000
10,10,0.017909833999965485,9.0,121.0,True,10,0.1,1000
11,11,0.021982499999921856,9.0,132.0,True,10,0.1,1000
12,12,0.023280625000097643,9.0,143.0,True,10,0.1,1000
13,13,0.024567083999954775,9.0,154.0,True,10,0.1,1000
14,14,0.02587149999999383,9.0,165.0,True,10,0.1,1000
15,15,0.027226250000239816,9.0,176.0,True,10,0.1,1000
16,16,0.028564416999870446,9.0,187.0,True,10,0.1,1000
17,17,0.029888000000028114,9.0,198.0,True,10,0.1,1000
18,18,0.03126337499998044,9.0,209.0,True,10,0.1,1000
19,19,0.032632292000016605,9.0,220.0,True,10,0.1,1000
20,20,0.03387591699993209,9.0,231.0,True,10,0.1,1000
21,21,0.03510966700014251,9.0,242.0,True,10,0.1,1000
22,22,0.03633720900006665,9.0,253.0,True,10,0.1,1000
23,23,0.03756162499985294,9.0,264.0,True,10,0.1,1000
24,24,0.03877995899983944,9.0,275.0,True,10,0.1,1000
25,25,0.03999954200025968,9.0,286.0,True,10,0.1,1000
26,26,0.0414039170000251,9.0,297.0,True,10,0.1,1000
27,27,0.0430792920001295,9.0,308.0,True,10,0.1,1000
28,28,0.04449216700004399,9.0,319.0,True,10,0.1,1000
29,29,0.045769792000101006,9.0,330.0,True,10,0.1,1000
30,30,0.047032792000209156,9.0,341.0,True,10,0.1,1000
31,31,0.048287334000178816,9.0,352.0,True,10,0.1,1000
32,32,0.04954304200009574,9.0,363.0,True,10,0.1,1000
33,33,0.050845458999901894,9.0,374.0,True,10,0.1,1000
34,34,0.052397083999949245,9.0,385.0,True,10,0.1,1000
35,35,0.05379454200010514,9.0,396.0,True,10,0.1,1000
36,36,0.055119167000157177,9.0,407.0,True,10,0.1,1000
37,37,0.05641666700012138,9.0,418.0,True,10,0.1,1000
38,38,0.05768545899991295,9.0,429.0,True,10,0.1,1000
39,39,0.05896370900018155,9.0,440.0,True,10,0.1,1000
40,40,0.06030762499995035,9.0,451.0,True,10,0.1,1000
41,41,0.061702958999831026,9.0,462.0,True,10,0.1,1000
42,42,0.06299004199991032,9.0,473.0,True,10,0.1,1000
43,43,0.06420600000001286,9.0,484.0,True,10,0.1,1000
44,44,0.06541400000014619,9.0,495.0,True,10,0.1,1000
45,45,0.06665104200010319,9.0,506.0,True,10,0.1,1000
46,46,0.06786012500015204,9.0,517.0,True,10,0.1,1000
47,47,0.06907220899984168,9.0,528.0,True,10,0.1,1000
48,48,0.07032212500007518,9.0,539.0,True,10,0.1,1000
49,49,0.07173212499992587,9.0,550.0,True,10,0.1,1000
50,50,0.07316637500025536,9.0,561.0,True,10,0.1,1000
51,51,0.07446949999985009,9.0,572.0,True,10,0.1,1000
52,52,0.07587145900015457,9.0,583.0,True,10,0.1,1000
53,53,0.07713141700014603,9.0,594.0,True,10,0.1,1000
54,54,0.07834945900003731,9.0,605.0,True,10,0.1,1000
55,55,0.07956712500026697,9.0,616.0,True,10,0.1,1000
56,56,0.0807838340001581,9.0,627.0,True,10,0.1,1000
57,57,0.08228370899996662,9.0,638.0,True,10,0.1,1000
58,58,0.08376195900018502,9.0,649.0,True,10,0.1,1000
59,59,0.08512416700023095,9.0,660.0,True,10,0.1,1000
60,60,0.08642725000026985,9.0,671.0,True,10,0.1,1000
61,61,0.08773829200026739,9.0,682.0,True,10,0.1,1000
62,62,0.08901700000023993,9.0,693.0,True,10,0.1,1000
63,63,0.09029416700013826,9.0,704.0,True,10,0.1,1000
64,64,0.09167100000013306,9.0,715.0,True,10,0.1,1000
65,65,0.09310137500006022,9.0,726.0,True,10,0.1,1000
66,66,0.09447587500017107,9.0,737.0,True,10,0.1,1000
67,67,0.09577258399986022,9.0,748.0,True,10,0.1,1000
68,68,0.09699854200016489,9.0,759.0,True,10,0.1,1000
69,69,0.09822274999987712,9.0,770.0,True,10,0.1,1000
70,70,0.09944379199987452,9.0,781.0,True,10,0.1,1000
71,71,0.10066349999988233,9.0,792.0,True,10,0.1,1000
72,72,0.1020552919999318,9.0,803.0,True,10,0.1,1000
73,73,0.1035781250002401,9.0,814.0,True,10,0.1,1000
74,74,0.10489304200018523,9.0,825.0,True,10,0.1,1000
75,75,0.10620237500006624,9.0,836.0,True,10,0.1,1000
76,76,0.10748720900028275,9.0,847.0,True,10,0.1,1000
77,77,0.10879812500024855,9.0,858.0,True,10,0.1,1000
78,78,0.11014795900018726,9.0,869.0,True,10,0.1,1000
79,79,0.11150641699987318,9.0,880.0,True,10,0.1,1000
80,80,0.112821791999977,9.0,891.0,True,10,0.1,1000
81,81,0.11409662500000195,9.0,902.0,True,10,0.1,1000
82,82,0.1153716250000798,9.0,913.0,True,10,0.1,1000
83,83,0.1166376669998499,9.0,924.0,True,10,0.1,1000
84,84,0.11791629200024545,9.0,935.0,True,10,0.1,1000
