,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,2761.0200486267336,10,0.0003732920004040352,"[np.int64(13), np.int64(39), np.int64(30), np.int64(45), np.int64(17), np.int64(48), np.int64(26), np.int64(25), np.int64(32), np.int64(19), np.int64(12), np.int64(4), np.int64(37), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(47), np.int64(15), np.int64(9), np.int64(16), np.int64(24), np.int64(34), np.int64(31), np.int64(0), np.int64(44), np.int64(27), np.int64(33), np.int64(5), np.int64(29), np.int64(11), np.int64(36), np.int64(1), np.int64(21), np.int64(2), np.int64(43), np.int64(35), np.int64(23), np.int64(40), np.int64(10), np.int64(22), np.int64(18), np.int64(49), np.int64(20), np.int64(7), np.int64(42), np.int64(14), np.int64(28), np.int64(38)]",10,0.1,950
1,50,2155.479366029701,569,0.05699058300069737,"[np.int64(48), np.int64(28), np.int64(12), np.int64(1), np.int64(35), np.int64(17), np.int64(21), np.int64(9), np.int64(23), np.int64(19), np.int64(13), np.int64(14), np.int64(5), np.int64(3), np.int64(39), np.int64(45), np.int64(42), np.int64(31), np.int64(33), np.int64(20), np.int64(46), np.int64(38), np.int64(2), np.int64(49), np.int64(8), np.int64(44), np.int64(41), np.int64(4), np.int64(11), np.int64(37), np.int64(32), np.int64(22), np.int64(43), np.int64(16), np.int64(25), np.int64(15), np.int64(6), np.int64(34), np.int64(29), np.int64(30), np.int64(36), np.int64(24), np.int64(27), np.int64(10), np.int64(0), np.int64(47), np.int64(26), np.int64(18), np.int64(7), np.int64(40)]",10,0.1,950
2,100,1995.0757548683298,1124,0.11935979200006841,"[np.int64(48), np.int64(28), np.int64(12), np.int64(1), np.int64(35), np.int64(17), np.int64(21), np.int64(9), np.int64(23), np.int64(19), np.int64(13), np.int64(14), np.int64(5), np.int64(3), np.int64(39), np.int64(45), np.int64(42), np.int64(16), np.int64(31), np.int64(24), np.int64(20), np.int64(46), np.int64(38), np.int64(2), np.int64(49), np.int64(8), np.int64(34), np.int64(41), np.int64(4), np.int64(11), np.int64(37), np.int64(32), np.int64(22), np.int64(43), np.int64(25), np.int64(15), np.int64(33), np.int64(6), np.int64(44), np.int64(29), np.int64(30), np.int64(36), np.int64(27), np.int64(10), np.int64(0), np.int64(47), np.int64(26), np.int64(18), np.int64(7), np.int64(40)]",10,0.1,950
3,150,1801.7507962373156,1678,0.17003695800030982,"[np.int64(48), np.int64(28), np.int64(12), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(9), np.int64(23), np.int64(19), np.int64(13), np.int64(14), np.int64(7), np.int64(3), np.int64(39), np.int64(45), np.int64(42), np.int64(16), np.int64(31), np.int64(24), np.int64(37), np.int64(17), np.int64(38), np.int64(2), np.int64(49), np.int64(8), np.int64(34), np.int64(41), np.int64(4), np.int64(11), np.int64(20), np.int64(32), np.int64(22), np.int64(43), np.int64(25), np.int64(15), np.int64(0), np.int64(6), np.int64(44), np.int64(29), np.int64(30), np.int64(36), np.int64(27), np.int64(10), np.int64(33), np.int64(47), np.int64(26), np.int64(18), np.int64(5), np.int64(40)]",10,0.1,950
4,200,1741.877614970351,2234,0.2238090420005392,"[np.int64(40), np.int64(43), np.int64(12), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(9), np.int64(23), np.int64(19), np.int64(13), np.int64(14), np.int64(7), np.int64(49), np.int64(34), np.int64(45), np.int64(39), np.int64(42), np.int64(31), np.int64(16), np.int64(24), np.int64(37), np.int64(17), np.int64(38), np.int64(2), np.int64(3), np.int64(8), np.int64(41), np.int64(4), np.int64(11), np.int64(20), np.int64(32), np.int64(22), np.int64(28), np.int64(25), np.int64(15), np.int64(0), np.int64(6), np.int64(44), np.int64(29), np.int64(30), np.int64(36), np.int64(27), np.int64(10), np.int64(33), np.int64(47), np.int64(26), np.int64(18), np.int64(5), np.int64(48)]",10,0.1,950
5,250,1617.0479842002806,2791,0.27594929200040497,"[np.int64(40), np.int64(28), np.int64(31), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(9), np.int64(23), np.int64(43), np.int64(7), np.int64(13), np.int64(14), np.int64(19), np.int64(49), np.int64(34), np.int64(25), np.int64(39), np.int64(42), np.int64(12), np.int64(33), np.int64(16), np.int64(24), np.int64(37), np.int64(17), np.int64(38), np.int64(2), np.int64(3), np.int64(8), np.int64(41), np.int64(4), np.int64(11), np.int64(20), np.int64(32), np.int64(22), np.int64(45), np.int64(15), np.int64(0), np.int64(6), np.int64(29), np.int64(30), np.int64(36), np.int64(27), np.int64(10), np.int64(44), np.int64(47), np.int64(26), np.int64(18), np.int64(5), np.int64(48)]",10,0.1,950
6,300,1519.0924998606663,3348,0.32991137499993783,"[np.int64(40), np.int64(28), np.int64(31), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(9), np.int64(23), np.int64(43), np.int64(10), np.int64(7), np.int64(13), np.int64(14), np.int64(19), np.int64(6), np.int64(34), np.int64(25), np.int64(39), np.int64(42), np.int64(12), np.int64(33), np.int64(16), np.int64(2), np.int64(37), np.int64(17), np.int64(38), np.int64(24), np.int64(3), np.int64(8), np.int64(41), np.int64(4), np.int64(11), np.int64(20), np.int64(32), np.int64(22), np.int64(45), np.int64(15), np.int64(0), np.int64(49), np.int64(29), np.int64(30), np.int64(36), np.int64(27), np.int64(44), np.int64(26), np.int64(47), np.int64(18), np.int64(5), np.int64(48)]",10,0.1,950
7,350,1437.2441671411018,3903,0.3940345420005542,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(9), np.int64(23), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(14), np.int64(19), np.int64(6), np.int64(34), np.int64(16), np.int64(39), np.int64(42), np.int64(12), np.int64(33), np.int64(25), np.int64(2), np.int64(37), np.int64(17), np.int64(38), np.int64(24), np.int64(3), np.int64(8), np.int64(41), np.int64(20), np.int64(11), np.int64(4), np.int64(32), np.int64(22), np.int64(45), np.int64(15), np.int64(0), np.int64(49), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(47), np.int64(18), np.int64(5), np.int64(48)]",10,0.1,950
8,400,1404.0761920475013,4455,0.4531809999998586,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(9), np.int64(23), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(14), np.int64(19), np.int64(16), np.int64(34), np.int64(6), np.int64(39), np.int64(33), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(37), np.int64(17), np.int64(38), np.int64(24), np.int64(3), np.int64(8), np.int64(41), np.int64(20), np.int64(11), np.int64(4), np.int64(32), np.int64(22), np.int64(45), np.int64(15), np.int64(0), np.int64(49), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(47), np.int64(18), np.int64(5), np.int64(48)]",10,0.1,950
9,450,1404.0761920475013,5005,0.5050179580002805,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(9), np.int64(23), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(14), np.int64(19), np.int64(16), np.int64(34), np.int64(6), np.int64(39), np.int64(33), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(37), np.int64(17), np.int64(38), np.int64(24), np.int64(3), np.int64(8), np.int64(41), np.int64(20), np.int64(11), np.int64(4), np.int64(32), np.int64(22), np.int64(45), np.int64(15), np.int64(0), np.int64(49), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(47), np.int64(18), np.int64(5), np.int64(48)]",10,0.1,950
10,500,1329.4012758514875,5559,0.557672167000419,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(23), np.int64(9), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(14), np.int64(19), np.int64(16), np.int64(34), np.int64(6), np.int64(39), np.int64(15), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(37), np.int64(38), np.int64(17), np.int64(24), np.int64(3), np.int64(8), np.int64(41), np.int64(20), np.int64(11), np.int64(4), np.int64(18), np.int64(22), np.int64(45), np.int64(33), np.int64(0), np.int64(49), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(47), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
11,550,1289.4852544444125,6111,0.6099972920001164,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(23), np.int64(9), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(34), np.int64(6), np.int64(39), np.int64(15), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(37), np.int64(38), np.int64(17), np.int64(24), np.int64(3), np.int64(8), np.int64(41), np.int64(20), np.int64(11), np.int64(4), np.int64(18), np.int64(22), np.int64(14), np.int64(33), np.int64(0), np.int64(49), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(16), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
12,600,1265.86897768249,6663,0.6678107920006369,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(23), np.int64(9), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(34), np.int64(6), np.int64(39), np.int64(15), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(8), np.int64(38), np.int64(17), np.int64(49), np.int64(3), np.int64(37), np.int64(41), np.int64(20), np.int64(11), np.int64(4), np.int64(18), np.int64(22), np.int64(14), np.int64(33), np.int64(0), np.int64(24), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(16), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
13,650,1259.1708602666301,7215,0.7202995830002692,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(23), np.int64(9), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(34), np.int64(6), np.int64(11), np.int64(15), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(8), np.int64(38), np.int64(17), np.int64(3), np.int64(49), np.int64(37), np.int64(41), np.int64(20), np.int64(39), np.int64(4), np.int64(18), np.int64(22), np.int64(14), np.int64(33), np.int64(0), np.int64(24), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(16), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
14,700,1259.1708602666301,7765,0.7786206669998137,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(21), np.int64(23), np.int64(9), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(34), np.int64(6), np.int64(11), np.int64(15), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(8), np.int64(38), np.int64(17), np.int64(3), np.int64(49), np.int64(37), np.int64(41), np.int64(20), np.int64(39), np.int64(4), np.int64(18), np.int64(22), np.int64(14), np.int64(33), np.int64(0), np.int64(24), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(16), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
15,750,1255.1599684475339,8316,0.8343465420002758,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(9), np.int64(23), np.int64(21), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(34), np.int64(6), np.int64(11), np.int64(15), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(8), np.int64(38), np.int64(17), np.int64(3), np.int64(49), np.int64(37), np.int64(41), np.int64(20), np.int64(39), np.int64(4), np.int64(18), np.int64(22), np.int64(14), np.int64(33), np.int64(0), np.int64(24), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(26), np.int64(16), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
16,800,1192.7683298340976,8868,0.8898916670004837,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(9), np.int64(23), np.int64(21), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(34), np.int64(6), np.int64(4), np.int64(11), np.int64(15), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(8), np.int64(38), np.int64(17), np.int64(3), np.int64(49), np.int64(37), np.int64(41), np.int64(20), np.int64(39), np.int64(26), np.int64(18), np.int64(22), np.int64(14), np.int64(33), np.int64(0), np.int64(24), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(16), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
17,850,1176.6453438614453,9420,0.9446892080004545,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(9), np.int64(23), np.int64(21), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(33), np.int64(6), np.int64(4), np.int64(11), np.int64(26), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(8), np.int64(38), np.int64(17), np.int64(3), np.int64(49), np.int64(37), np.int64(41), np.int64(20), np.int64(39), np.int64(15), np.int64(18), np.int64(22), np.int64(14), np.int64(34), np.int64(0), np.int64(24), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(16), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
18,900,1169.476499831866,9971,1.0009720830003062,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(9), np.int64(23), np.int64(21), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(33), np.int64(6), np.int64(4), np.int64(11), np.int64(26), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(3), np.int64(38), np.int64(17), np.int64(8), np.int64(49), np.int64(37), np.int64(41), np.int64(20), np.int64(39), np.int64(15), np.int64(18), np.int64(22), np.int64(14), np.int64(34), np.int64(0), np.int64(24), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(16), np.int64(32), np.int64(5), np.int64(48)]",10,0.1,950
19,950,1135.363309671036,10522,1.0568797500000073,"[np.int64(40), np.int64(10), np.int64(27), np.int64(1), np.int64(35), np.int64(46), np.int64(9), np.int64(23), np.int64(21), np.int64(31), np.int64(43), np.int64(28), np.int64(7), np.int64(13), np.int64(45), np.int64(19), np.int64(47), np.int64(33), np.int64(6), np.int64(4), np.int64(11), np.int64(26), np.int64(12), np.int64(42), np.int64(25), np.int64(2), np.int64(3), np.int64(38), np.int64(17), np.int64(8), np.int64(49), np.int64(37), np.int64(41), np.int64(20), np.int64(39), np.int64(15), np.int64(18), np.int64(22), np.int64(32), np.int64(14), np.int64(34), np.int64(0), np.int64(24), np.int64(29), np.int64(30), np.int64(36), np.int64(44), np.int64(16), np.int64(5), np.int64(48)]",10,0.1,950
