,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.00017783400016924134,18.0,10.0,10,0.1,950
1,1,0.0028357090004647034,44.0,22.0,10,0.1,950
2,2,0.0030972920003478066,44.0,33.0,10,0.1,950
3,3,0.0033235000000786385,44.0,44.0,10,0.1,950
4,4,0.0035416250002526795,44.0,55.0,10,0.1,950
5,5,0.0037586670005111955,44.0,66.0,10,0.1,950
6,6,0.003972375000557804,44.0,77.0,10,0.1,950
7,7,0.004185583999969822,44.0,88.0,10,0.1,950
8,8,0.0043975420003334875,44.0,99.0,10,0.1,950
9,9,0.0046012920001885504,44.0,110.0,10,0.1,950
10,10,0.004808209000657371,44.0,121.0,10,0.1,950
11,11,0.005016417000661022,44.0,132.0,10,0.1,950
12,12,0.005220667000685353,44.0,143.0,10,0.1,950
13,13,0.005424459000096249,44.0,154.0,10,0.1,950
14,14,0.005774042000666668,44.0,165.0,10,0.1,950
15,15,0.006000334000418661,44.0,176.0,10,0.1,950
16,16,0.006219249999958265,44.0,187.0,10,0.1,950
17,17,0.006431042000258458,44.0,198.0,10,0.1,950
18,18,0.0066433340007279185,44.0,209.0,10,0.1,950
19,19,0.006853292000414513,44.0,220.0,10,0.1,950
20,20,0.007057250000798376,44.0,231.0,10,0.1,950
21,21,0.0072600000003149034,44.0,242.0,10,0.1,950
22,22,0.0074620840005081845,44.0,253.0,10,0.1,950
23,23,0.007664084000680305,44.0,264.0,10,0.1,950
24,24,0.007866834000196832,44.0,275.0,10,0.1,950
25,25,0.008072250000623171,44.0,286.0,10,0.1,950
26,26,0.008278250000330445,44.0,297.0,10,0.1,950
27,27,0.008489458999974886,44.0,308.0,10,0.1,950
28,28,0.008707542000593094,47.0,320.0,10,0.1,950
29,29,0.008915209000406321,47.0,331.0,10,0.1,950
30,30,0.00912166700072703,47.0,342.0,10,0.1,950
31,31,0.009333500000138883,47.0,353.0,10,0.1,950
32,32,0.009539000000586384,47.0,364.0,10,0.1,950
33,33,0.009747042000526562,47.0,375.0,10,0.1,950
34,34,0.00995454200074164,47.0,386.0,10,0.1,950
35,35,0.010161791999962588,47.0,397.0,10,0.1,950
36,36,0.010373000000072352,47.0,408.0,10,0.1,950
37,37,0.01057833400045638,47.0,419.0,10,0.1,950
38,38,0.010786042000290763,47.0,430.0,10,0.1,950
39,39,0.010994625000421365,47.0,441.0,10,0.1,950
40,40,0.011202624999896216,47.0,452.0,10,0.1,950
41,41,0.011416334000386996,47.0,463.0,10,0.1,950
42,42,0.011623500000496279,47.0,474.0,10,0.1,950
43,43,0.011830417000055604,47.0,485.0,10,0.1,950
44,44,0.012126750000788888,47.0,496.0,10,0.1,950
45,45,0.012343959000645555,47.0,507.0,10,0.1,950
46,46,0.012554584000099567,47.0,518.0,10,0.1,950
47,47,0.012766333999934432,47.0,529.0,10,0.1,950
48,48,0.012978708999980881,47.0,540.0,10,0.1,950
49,49,0.013196333999985654,47.0,551.0,10,0.1,950
50,50,0.013412625000455591,47.0,562.0,10,0.1,950
51,51,0.019328209000377683,47.0,573.0,10,0.1,950
52,52,0.019558042000426212,47.0,584.0,10,0.1,950
53,53,0.019779917000050773,47.0,595.0,10,0.1,950
54,54,0.01999725000041508,47.0,606.0,10,0.1,950
55,55,0.020210500000757747,47.0,617.0,10,0.1,950
56,56,0.020426916999895184,47.0,628.0,10,0.1,950
57,57,0.02063983400057623,47.0,639.0,10,0.1,950
58,58,0.020853709000220988,47.0,650.0,10,0.1,950
59,59,0.02106691700009833,47.0,661.0,10,0.1,950
60,60,0.021287625000695698,47.0,672.0,10,0.1,950
61,61,0.02150420900034078,47.0,683.0,10,0.1,950
62,62,0.021724334000282397,47.0,694.0,10,0.1,950
63,63,0.021935792000476795,47.0,705.0,10,0.1,950
64,64,0.02215045899993129,47.0,716.0,10,0.1,950
65,65,0.02235625000048458,47.0,727.0,10,0.1,950
66,66,0.02257037500021397,47.0,738.0,10,0.1,950
67,67,0.02278745900002832,47.0,749.0,10,0.1,950
68,68,0.023000084000159404,47.0,760.0,10,0.1,950
69,69,0.02321479200054455,47.0,771.0,10,0.1,950
70,70,0.023431792000337737,47.0,782.0,10,0.1,950
71,71,0.023642834000384028,47.0,793.0,10,0.1,950
72,72,0.02385625000079017,47.0,804.0,10,0.1,950
73,73,0.024065834000793984,47.0,815.0,10,0.1,950
74,74,0.024279000000205997,47.0,826.0,10,0.1,950
75,75,0.024489500000527187,47.0,837.0,10,0.1,950
76,76,0.024708500000087952,47.0,848.0,10,0.1,950
77,77,0.02492675000030431,47.0,859.0,10,0.1,950
78,78,0.02513795899994875,47.0,870.0,10,0.1,950
79,79,0.025347959000100673,47.0,881.0,10,0.1,950
80,80,0.02556612500029587,47.0,892.0,10,0.1,950
81,81,0.02578537499994127,47.0,903.0,10,0.1,950
82,82,0.02600962500036985,47.0,914.0,10,0.1,950
83,83,0.026236833999973896,47.0,925.0,10,0.1,950
84,84,0.02646041700063506,47.0,936.0,10,0.1,950
