,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,24.08973559619128,10,0.0002703340000209664,"[np.int64(1), np.int64(4), np.int64(2), np.int64(0), np.int64(3)]",True,10,0.1,145
1,5,21.088973588435596,66,0.012982667000017045,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
2,10,21.088973588435596,121,0.027913167000008343,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
3,15,21.088973588435596,176,0.04284645900000328,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
4,20,21.088973588435596,231,0.05532350000001429,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
5,25,21.088973588435596,286,0.06935354200001598,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
6,30,21.088973588435596,341,0.08461991699999771,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
7,35,21.088973588435596,396,0.09811858400001938,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
8,40,21.088973588435596,451,0.11159637500000485,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
9,45,21.088973588435596,506,0.12066795900000216,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
10,50,21.088973588435596,561,0.12985420900000122,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
11,55,21.088973588435596,616,0.13958579200001964,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
12,60,21.088973588435596,671,0.15168441700001267,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
13,65,21.088973588435596,726,0.16115216700001156,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
14,70,21.088973588435596,781,0.17600870900000132,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
15,75,21.088973588435596,836,0.18813129200000844,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
16,80,21.088973588435596,891,0.1984551250000095,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
17,85,21.088973588435596,946,0.20862091700001884,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
18,90,21.088973588435596,1001,0.21860412500001303,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
19,95,21.088973588435596,1056,0.2282526250000103,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
20,100,21.088973588435596,1111,0.23847324999999842,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
21,105,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
22,110,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
23,115,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
24,120,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
25,125,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
26,130,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
27,135,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
28,140,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
29,145,21.088973588435596,1122,0.24265720900001497,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.1,145
30,0,24.08973559619128,10,0.00018754199999193588,"[np.int64(1), np.int64(4), np.int64(2), np.int64(0), np.int64(3)]",True,10,0.2,145
31,5,21.088973588435596,66,0.0101185839999971,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
32,10,21.088973588435596,121,0.02004308399997967,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
33,15,21.088973588435596,176,0.03129920899999661,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
34,20,21.088973588435596,231,0.04497162499998808,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
35,25,21.088973588435596,286,0.054988249999979644,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
36,30,21.088973588435596,341,0.06490979199998037,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
37,35,21.088973588435596,396,0.07821416699999872,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
38,40,21.088973588435596,451,0.09173033399997621,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
39,45,21.088973588435596,506,0.10335033399999816,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
40,50,21.088973588435596,561,0.11306762499998513,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
41,55,21.088973588435596,616,0.1231190419999848,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
42,60,21.088973588435596,671,0.1353715839999836,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
43,65,21.088973588435596,726,0.1502398749999827,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
44,70,21.088973588435596,781,0.16301024999998504,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
45,75,21.088973588435596,836,0.17337520899999959,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
46,80,21.088973588435596,891,0.18318274999998607,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
47,85,21.088973588435596,946,0.19995083399999203,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
48,90,21.088973588435596,1001,0.21377716699998928,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
49,95,21.088973588435596,1056,0.2232048749999933,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
50,100,21.088973588435596,1111,0.2364140839999891,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
51,105,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
52,110,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
53,115,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
54,120,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
55,125,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
56,130,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
57,135,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
58,140,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
59,145,21.088973588435596,1122,0.24534449999998742,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.2,145
60,0,24.08973559619128,10,0.0001690830000029564,"[np.int64(1), np.int64(4), np.int64(2), np.int64(0), np.int64(3)]",True,10,0.3,145
61,5,21.088973588435596,66,0.010470832999999402,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
62,10,21.088973588435596,121,0.021464707999996335,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
63,15,21.088973588435596,176,0.04262016699999549,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
64,20,21.088973588435596,231,0.05899800000000255,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
65,25,21.088973588435596,286,0.06984604199999467,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
66,30,21.088973588435596,341,0.08334304199999565,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
67,35,21.088973588435596,396,0.09682558299999755,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
68,40,21.088973588435596,451,0.10770637499999225,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
69,45,21.088973588435596,506,0.11812274999999772,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
70,50,21.088973588435596,561,0.1282074169999987,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
71,55,21.088973588435596,616,0.14334149999999113,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
72,60,21.088973588435596,671,0.15463004200000796,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
73,65,21.088973588435596,726,0.166273082999993,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
74,70,21.088973588435596,781,0.17726629199998456,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
75,75,21.088973588435596,836,0.1884183749999977,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
76,80,21.088973588435596,891,0.19930316700001072,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
77,85,21.088973588435596,946,0.21498483299998838,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
78,90,21.088973588435596,1001,0.22920470799999748,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
79,95,21.088973588435596,1056,0.24386479200001077,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
80,100,21.088973588435596,1111,0.25692583299999683,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
81,105,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
82,110,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
83,115,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
84,120,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
85,125,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
86,130,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
87,135,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
88,140,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
89,145,21.088973588435596,1122,0.2617318329999989,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.3,145
90,0,24.08973559619128,10,0.0001752080000017031,"[np.int64(1), np.int64(4), np.int64(2), np.int64(0), np.int64(3)]",True,10,0.4,145
91,5,21.088973588435596,66,0.01054962500001011,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
92,10,21.088973588435596,121,0.023158249999994496,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
93,15,21.088973588435596,176,0.03767670799999223,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
94,20,21.088973588435596,231,0.05011970800001109,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
95,25,21.088973588435596,286,0.06106783300000984,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
96,30,21.088973588435596,341,0.07258095800000319,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
97,35,21.088973588435596,396,0.08318337500000439,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
98,40,21.088973588435596,451,0.09352170799999726,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
99,45,21.088973588435596,506,0.10412154200000145,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
100,50,21.088973588435596,561,0.1149232920000145,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
101,55,21.088973588435596,616,0.12582804199999487,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
102,60,21.088973588435596,671,0.13715887500001145,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
103,65,21.088973588435596,726,0.149308542,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
104,70,21.088973588435596,781,0.1602312500000096,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
105,75,21.088973588435596,836,0.1724867080000081,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
106,80,21.088973588435596,891,0.18361429200001567,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
107,85,21.088973588435596,946,0.19836112499999103,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
108,90,21.088973588435596,1001,0.20912641699999313,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
109,95,21.088973588435596,1056,0.21979075000001558,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
110,100,21.088973588435596,1111,0.23102449999998953,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
111,105,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
112,110,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
113,115,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
114,120,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
115,125,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
116,130,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
117,135,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
118,140,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
119,145,21.088973588435596,1122,0.23625774999999294,"[np.int8(0), np.int8(1), np.int8(4), np.int8(3), np.int8(2)]",True,10,0.4,145
