,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00024758399376878515,0.0,10.0,True,10,0.3,95
1,1,0.009439666995604057,1599.0,22.0,True,10,0.3,95
2,2,0.01278858399746241,1599.0,33.0,True,10,0.3,95
3,3,0.016214833995036315,1599.0,44.0,True,10,0.3,95
4,4,0.019033708995266352,1599.0,55.0,True,10,0.3,95
5,5,0.0221840419981163,1599.0,66.0,True,10,0.3,95
6,6,0.02692370899603702,1599.0,77.0,True,10,0.3,95
7,7,0.029697583995584864,1599.0,88.0,True,10,0.3,95
8,8,0.03359083399845986,1599.0,99.0,True,10,0.3,95
9,9,0.03853062499547377,1599.0,110.0,True,10,0.3,95
10,10,0.04162379199988209,1599.0,121.0,True,10,0.3,95
11,11,0.0472872499958612,1599.0,132.0,True,10,0.3,95
12,12,0.05035508400032995,1599.0,143.0,True,10,0.3,95
13,13,0.05387645899463678,1599.0,154.0,True,10,0.3,95
14,14,0.05932937499892432,1599.0,165.0,True,10,0.3,95
15,15,0.06280458399851341,1599.0,176.0,True,10,0.3,95
16,16,0.06833412499690894,1599.0,187.0,True,10,0.3,95
17,17,0.07167370899696834,1599.0,198.0,True,10,0.3,95
18,18,0.0746889169968199,1599.0,209.0,True,10,0.3,95
19,19,0.07756454199989093,1599.0,220.0,True,10,0.3,95
20,20,0.08169149999594083,1599.0,231.0,True,10,0.3,95
21,21,0.08850970899948152,1599.0,242.0,True,10,0.3,95
22,22,0.0916259169971454,1599.0,253.0,True,10,0.3,95
23,23,0.09463783399405656,1599.0,264.0,True,10,0.3,95
24,24,0.09887608399731107,1599.0,275.0,True,10,0.3,95
25,25,0.10301875000004657,1599.0,286.0,True,10,0.3,95
26,26,0.1130616669979645,1599.0,297.0,True,10,0.3,95
27,27,0.11593462499877205,1599.0,308.0,True,10,0.3,95
28,28,0.11942825000005541,1599.0,319.0,True,10,0.3,95
29,29,0.12281020899536088,1599.0,330.0,True,10,0.3,95
30,30,0.12637987500056624,1599.0,341.0,True,10,0.3,95
31,31,0.13407858400023542,1599.0,352.0,True,10,0.3,95
32,32,0.1368476669958909,1599.0,363.0,True,10,0.3,95
33,33,0.13973591700050747,1599.0,374.0,True,10,0.3,95
34,34,0.14256299999397015,1599.0,385.0,True,10,0.3,95
35,35,0.14545533399359556,1599.0,396.0,True,10,0.3,95
36,36,0.15430183399439557,1599.0,407.0,True,10,0.3,95
37,37,0.15716566699848045,1599.0,418.0,True,10,0.3,95
38,38,0.15996512499987148,1599.0,429.0,True,10,0.3,95
39,39,0.16276737499720184,1599.0,440.0,True,10,0.3,95
40,40,0.16553233399463352,1599.0,451.0,True,10,0.3,95
41,41,0.17216212499624817,1599.0,462.0,True,10,0.3,95
42,42,0.17506712499744026,1599.0,473.0,True,10,0.3,95
43,43,0.178105583996512,1599.0,484.0,True,10,0.3,95
44,44,0.1822261669949512,1599.0,495.0,True,10,0.3,95
45,45,0.18560520900064148,1599.0,506.0,True,10,0.3,95
46,46,0.19090816699463176,1599.0,517.0,True,10,0.3,95
47,47,0.19368137499986915,1599.0,528.0,True,10,0.3,95
48,48,0.1970532919949619,1599.0,539.0,True,10,0.3,95
49,49,0.20037187499838183,1599.0,550.0,True,10,0.3,95
50,50,0.20365566699911142,1599.0,561.0,True,10,0.3,95
51,51,0.20944704199791886,1599.0,572.0,True,10,0.3,95
52,52,0.21228508399508428,1599.0,583.0,True,10,0.3,95
53,53,0.21508774999529123,1599.0,594.0,True,10,0.3,95
54,54,0.21785999999701744,1599.0,605.0,True,10,0.3,95
55,55,0.22112120899691945,1599.0,616.0,True,10,0.3,95
56,56,0.22689420899405377,1599.0,627.0,True,10,0.3,95
57,57,0.2297169999947073,1599.0,638.0,True,10,0.3,95
58,58,0.23303587499685818,1599.0,649.0,True,10,0.3,95
59,59,0.23651829199661734,1599.0,660.0,True,10,0.3,95
60,60,0.23965299999690615,1599.0,671.0,True,10,0.3,95
61,61,0.2482999169951654,1599.0,682.0,True,10,0.3,95
62,62,0.25114449999819044,1599.0,693.0,True,10,0.3,95
63,63,0.2539439999964088,1599.0,704.0,True,10,0.3,95
64,64,0.2566928749947692,1599.0,715.0,True,10,0.3,95
65,65,0.2594863339982112,1599.0,726.0,True,10,0.3,95
66,66,0.26780895899719326,1599.0,737.0,True,10,0.3,95
67,67,0.27052420899417484,1599.0,748.0,True,10,0.3,95
68,68,0.2733014589975937,1599.0,759.0,True,10,0.3,95
69,69,0.2760960419982439,1599.0,770.0,True,10,0.3,95
70,70,0.2788259999942966,1599.0,781.0,True,10,0.3,95
71,71,0.2835214999940945,1599.0,792.0,True,10,0.3,95
72,72,0.28623254199919757,1599.0,803.0,True,10,0.3,95
73,73,0.2889426249967073,1599.0,814.0,True,10,0.3,95
74,74,0.29165404199738987,1599.0,825.0,True,10,0.3,95
75,75,0.29435095899680164,1599.0,836.0,True,10,0.3,95
76,76,0.29898266699456144,1599.0,847.0,True,10,0.3,95
77,77,0.3016867919941433,1599.0,858.0,True,10,0.3,95
78,78,0.3043805419947603,1599.0,869.0,True,10,0.3,95
79,79,0.3070689169981051,1599.0,880.0,True,10,0.3,95
