,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00018529199999761659,18.0,10.0,True,10,0.1,145
1,1,0.00631316700000184,44.0,22.0,True,10,0.1,145
2,2,0.007192250000002787,44.0,33.0,True,10,0.1,145
3,3,0.008046959000012066,44.0,44.0,True,10,0.1,145
4,4,0.008883333999989418,44.0,55.0,True,10,0.1,145
5,5,0.009718499999991081,44.0,66.0,True,10,0.1,145
6,6,0.01351004200000716,44.0,77.0,True,10,0.1,145
7,7,0.014376459000004616,44.0,88.0,True,10,0.1,145
8,8,0.015221125000010716,44.0,99.0,True,10,0.1,145
9,9,0.01605795899999407,44.0,110.0,True,10,0.1,145
10,10,0.016892750000010892,44.0,121.0,True,10,0.1,145
11,11,0.020525042000002713,44.0,132.0,True,10,0.1,145
12,12,0.021407708999987562,44.0,143.0,True,10,0.1,145
13,13,0.022266666999996687,44.0,154.0,True,10,0.1,145
14,14,0.023115042000000585,44.0,165.0,True,10,0.1,145
15,15,0.023959791999999425,44.0,176.0,True,10,0.1,145
16,16,0.026260833999998567,44.0,187.0,True,10,0.1,145
17,17,0.02712450000001354,44.0,198.0,True,10,0.1,145
18,18,0.027979625000000397,44.0,209.0,True,10,0.1,145
19,19,0.028982874999996966,44.0,220.0,True,10,0.1,145
20,20,0.03002891700000987,44.0,231.0,True,10,0.1,145
21,21,0.033003541999988784,44.0,242.0,True,10,0.1,145
22,22,0.033887084000014056,44.0,253.0,True,10,0.1,145
23,23,0.03474149999999554,44.0,264.0,True,10,0.1,145
24,24,0.035591750000008915,44.0,275.0,True,10,0.1,145
25,25,0.03645729199999437,44.0,286.0,True,10,0.1,145
26,26,0.03880629200000385,44.0,297.0,True,10,0.1,145
27,27,0.03966754199998945,44.0,308.0,True,10,0.1,145
28,28,0.0405332089999888,44.0,319.0,True,10,0.1,145
29,29,0.041452292000002444,44.0,330.0,True,10,0.1,145
30,30,0.04236329200000455,44.0,341.0,True,10,0.1,145
31,31,0.04489474999999743,44.0,352.0,True,10,0.1,145
32,32,0.04575762499999314,44.0,363.0,True,10,0.1,145
33,33,0.04662895900000308,44.0,374.0,True,10,0.1,145
34,34,0.04747712500000034,44.0,385.0,True,10,0.1,145
35,35,0.04832924999999477,44.0,396.0,True,10,0.1,145
36,36,0.05082945899999913,44.0,407.0,True,10,0.1,145
37,37,0.0516950839999879,44.0,418.0,True,10,0.1,145
38,38,0.05255754199998819,44.0,429.0,True,10,0.1,145
39,39,0.05340658399998688,44.0,440.0,True,10,0.1,145
40,40,0.054282499999999345,44.0,451.0,True,10,0.1,145
41,41,0.0601447500000063,44.0,462.0,True,10,0.1,145
42,42,0.061030749999986256,44.0,473.0,True,10,0.1,145
43,43,0.06189137499998765,44.0,484.0,True,10,0.1,145
44,44,0.06274375000000987,44.0,495.0,True,10,0.1,145
45,45,0.06360287499998662,44.0,506.0,True,10,0.1,145
46,46,0.06620783400001073,44.0,517.0,True,10,0.1,145
47,47,0.06720200000000887,44.0,528.0,True,10,0.1,145
48,48,0.06807762500000081,44.0,539.0,True,10,0.1,145
49,49,0.06893212500000345,44.0,550.0,True,10,0.1,145
50,50,0.0697864999999922,44.0,561.0,True,10,0.1,145
51,51,0.073569458999998,44.0,572.0,True,10,0.1,145
