,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,2761.0200486267336,0,0.0001177909998659743,"[np.int64(13), np.int64(39), np.int64(30), np.int64(45), np.int64(17), np.int64(48), np.int64(26), np.int64(25), np.int64(32), np.int64(19), np.int64(12), np.int64(4), np.int64(37), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(47), np.int64(15), np.int64(9), np.int64(16), np.int64(24), np.int64(34), np.int64(31), np.int64(0), np.int64(44), np.int64(27), np.int64(33), np.int64(5), np.int64(29), np.int64(11), np.int64(36), np.int64(1), np.int64(21), np.int64(2), np.int64(43), np.int64(35), np.int64(23), np.int64(40), np.int64(10), np.int64(22), np.int64(18), np.int64(49), np.int64(20), np.int64(7), np.int64(42), np.int64(14), np.int64(28), np.int64(38)]",5,100,0
1,10,2523.5970743738503,14,0.001987458001167397,"[np.int64(13), np.int64(38), np.int64(30), np.int64(45), np.int64(4), np.int64(48), np.int64(26), np.int64(25), np.int64(32), np.int64(19), np.int64(12), np.int64(17), np.int64(37), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(47), np.int64(15), np.int64(9), np.int64(16), np.int64(24), np.int64(34), np.int64(31), np.int64(0), np.int64(44), np.int64(27), np.int64(33), np.int64(23), np.int64(21), np.int64(11), np.int64(36), np.int64(1), np.int64(29), np.int64(2), np.int64(43), np.int64(35), np.int64(5), np.int64(40), np.int64(10), np.int64(22), np.int64(18), np.int64(49), np.int64(20), np.int64(7), np.int64(42), np.int64(14), np.int64(28), np.int64(39)]",5,100,0
2,20,2258.738809351748,28,0.003658083000118495,"[np.int64(13), np.int64(38), np.int64(30), np.int64(45), np.int64(4), np.int64(48), np.int64(26), np.int64(22), np.int64(32), np.int64(19), np.int64(12), np.int64(17), np.int64(37), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(47), np.int64(15), np.int64(9), np.int64(16), np.int64(34), np.int64(24), np.int64(31), np.int64(1), np.int64(44), np.int64(27), np.int64(36), np.int64(23), np.int64(21), np.int64(11), np.int64(33), np.int64(0), np.int64(29), np.int64(2), np.int64(43), np.int64(35), np.int64(5), np.int64(40), np.int64(10), np.int64(25), np.int64(18), np.int64(49), np.int64(20), np.int64(7), np.int64(42), np.int64(14), np.int64(28), np.int64(39)]",5,100,0
3,30,2213.244112767658,41,0.005294665999826975,"[np.int64(13), np.int64(38), np.int64(30), np.int64(45), np.int64(4), np.int64(48), np.int64(26), np.int64(22), np.int64(32), np.int64(19), np.int64(12), np.int64(17), np.int64(9), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(7), np.int64(15), np.int64(37), np.int64(49), np.int64(34), np.int64(24), np.int64(31), np.int64(1), np.int64(44), np.int64(27), np.int64(36), np.int64(23), np.int64(21), np.int64(11), np.int64(33), np.int64(0), np.int64(29), np.int64(2), np.int64(43), np.int64(35), np.int64(5), np.int64(40), np.int64(10), np.int64(25), np.int64(18), np.int64(16), np.int64(20), np.int64(47), np.int64(42), np.int64(14), np.int64(28), np.int64(39)]",5,100,0
4,40,2174.2838828866834,52,0.007174125001256471,"[np.int64(29), np.int64(38), np.int64(30), np.int64(45), np.int64(4), np.int64(48), np.int64(26), np.int64(22), np.int64(32), np.int64(19), np.int64(12), np.int64(17), np.int64(9), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(7), np.int64(15), np.int64(37), np.int64(49), np.int64(34), np.int64(24), np.int64(31), np.int64(1), np.int64(44), np.int64(27), np.int64(36), np.int64(23), np.int64(21), np.int64(11), np.int64(33), np.int64(0), np.int64(13), np.int64(2), np.int64(43), np.int64(35), np.int64(5), np.int64(40), np.int64(10), np.int64(25), np.int64(18), np.int64(16), np.int64(20), np.int64(47), np.int64(42), np.int64(14), np.int64(28), np.int64(39)]",5,100,0
5,50,2143.9575072867165,64,0.013409625000349479,"[np.int64(29), np.int64(38), np.int64(30), np.int64(45), np.int64(4), np.int64(48), np.int64(26), np.int64(22), np.int64(32), np.int64(19), np.int64(12), np.int64(17), np.int64(9), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(7), np.int64(20), np.int64(37), np.int64(49), np.int64(34), np.int64(24), np.int64(31), np.int64(1), np.int64(44), np.int64(27), np.int64(36), np.int64(23), np.int64(21), np.int64(11), np.int64(18), np.int64(0), np.int64(13), np.int64(2), np.int64(43), np.int64(35), np.int64(5), np.int64(40), np.int64(10), np.int64(25), np.int64(33), np.int64(16), np.int64(15), np.int64(47), np.int64(42), np.int64(14), np.int64(28), np.int64(39)]",5,100,0
6,60,2063.1551818927983,77,0.015531708000708022,"[np.int64(29), np.int64(38), np.int64(30), np.int64(45), np.int64(4), np.int64(47), np.int64(26), np.int64(22), np.int64(32), np.int64(19), np.int64(12), np.int64(17), np.int64(9), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(7), np.int64(20), np.int64(37), np.int64(24), np.int64(34), np.int64(49), np.int64(31), np.int64(1), np.int64(44), np.int64(27), np.int64(36), np.int64(23), np.int64(21), np.int64(11), np.int64(18), np.int64(0), np.int64(16), np.int64(2), np.int64(43), np.int64(35), np.int64(5), np.int64(40), np.int64(10), np.int64(25), np.int64(33), np.int64(13), np.int64(15), np.int64(48), np.int64(42), np.int64(14), np.int64(28), np.int64(39)]",5,100,0
7,70,2004.3401242860252,90,0.01774929100065492,"[np.int64(29), np.int64(38), np.int64(30), np.int64(45), np.int64(4), np.int64(47), np.int64(19), np.int64(22), np.int64(32), np.int64(26), np.int64(12), np.int64(17), np.int64(9), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(7), np.int64(20), np.int64(37), np.int64(24), np.int64(34), np.int64(49), np.int64(31), np.int64(1), np.int64(44), np.int64(27), np.int64(36), np.int64(23), np.int64(21), np.int64(11), np.int64(18), np.int64(0), np.int64(16), np.int64(13), np.int64(43), np.int64(35), np.int64(5), np.int64(40), np.int64(10), np.int64(25), np.int64(33), np.int64(14), np.int64(15), np.int64(48), np.int64(42), np.int64(2), np.int64(28), np.int64(39)]",5,100,0
8,80,1998.832315553004,101,0.019990208000308485,"[np.int64(29), np.int64(38), np.int64(30), np.int64(45), np.int64(4), np.int64(47), np.int64(19), np.int64(22), np.int64(32), np.int64(26), np.int64(12), np.int64(17), np.int64(9), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(14), np.int64(7), np.int64(20), np.int64(37), np.int64(24), np.int64(34), np.int64(49), np.int64(31), np.int64(1), np.int64(44), np.int64(27), np.int64(36), np.int64(23), np.int64(21), np.int64(11), np.int64(18), np.int64(0), np.int64(16), np.int64(13), np.int64(43), np.int64(35), np.int64(5), np.int64(40), np.int64(10), np.int64(25), np.int64(33), np.int64(46), np.int64(15), np.int64(48), np.int64(42), np.int64(2), np.int64(28), np.int64(39)]",5,100,0
9,90,1941.3551084109451,114,0.02224358300009044,"[np.int64(29), np.int64(38), np.int64(14), np.int64(45), np.int64(48), np.int64(47), np.int64(19), np.int64(22), np.int64(32), np.int64(26), np.int64(12), np.int64(17), np.int64(9), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(30), np.int64(7), np.int64(20), np.int64(37), np.int64(24), np.int64(34), np.int64(49), np.int64(31), np.int64(1), np.int64(44), np.int64(27), np.int64(36), np.int64(23), np.int64(21), np.int64(11), np.int64(18), np.int64(0), np.int64(16), np.int64(40), np.int64(43), np.int64(35), np.int64(5), np.int64(13), np.int64(10), np.int64(25), np.int64(33), np.int64(46), np.int64(15), np.int64(4), np.int64(42), np.int64(2), np.int64(28), np.int64(39)]",5,100,0
