,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,2761.0200486267336,0,9.345899979962269e-05,"[np.int64(13), np.int64(39), np.int64(30), np.int64(45), np.int64(17), np.int64(48), np.int64(26), np.int64(25), np.int64(32), np.int64(19), np.int64(12), np.int64(4), np.int64(37), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(47), np.int64(15), np.int64(9), np.int64(16), np.int64(24), np.int64(34), np.int64(31), np.int64(0), np.int64(44), np.int64(27), np.int64(33), np.int64(5), np.int64(29), np.int64(11), np.int64(36), np.int64(1), np.int64(21), np.int64(2), np.int64(43), np.int64(35), np.int64(23), np.int64(40), np.int64(10), np.int64(22), np.int64(18), np.int64(49), np.int64(20), np.int64(7), np.int64(42), np.int64(14), np.int64(28), np.int64(38)]",geometric,1,0.99,0.001,0.9999990607061047,1,1250
1,50,2074.1362524690826,66,0.004485624999688298,"[np.int64(13), np.int64(14), np.int64(30), np.int64(39), np.int64(28), np.int64(48), np.int64(26), np.int64(46), np.int64(5), np.int64(15), np.int64(12), np.int64(17), np.int64(37), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(25), np.int64(47), np.int64(0), np.int64(9), np.int64(16), np.int64(33), np.int64(34), np.int64(32), np.int64(19), np.int64(44), np.int64(27), np.int64(2), np.int64(23), np.int64(21), np.int64(11), np.int64(36), np.int64(1), np.int64(29), np.int64(20), np.int64(43), np.int64(35), np.int64(31), np.int64(40), np.int64(7), np.int64(22), np.int64(18), np.int64(49), np.int64(24), np.int64(10), np.int64(42), np.int64(38), np.int64(4), np.int64(45)]",geometric,1,0.99,0.001,0.99995491897842,1,1250
2,100,1841.4530428971161,126,0.0128192920001311,"[np.int64(13), np.int64(14), np.int64(25), np.int64(39), np.int64(28), np.int64(19), np.int64(26), np.int64(2), np.int64(44), np.int64(15), np.int64(12), np.int64(17), np.int64(23), np.int64(8), np.int64(3), np.int64(6), np.int64(10), np.int64(30), np.int64(47), np.int64(24), np.int64(9), np.int64(16), np.int64(33), np.int64(34), np.int64(32), np.int64(48), np.int64(5), np.int64(35), np.int64(46), np.int64(37), np.int64(21), np.int64(11), np.int64(27), np.int64(1), np.int64(29), np.int64(20), np.int64(43), np.int64(36), np.int64(31), np.int64(40), np.int64(7), np.int64(22), np.int64(18), np.int64(4), np.int64(0), np.int64(41), np.int64(42), np.int64(38), np.int64(49), np.int64(45)]",geometric,1,0.99,0.001,0.9998711701092777,1,1250
3,150,1740.7467159201249,182,0.01812691699979041,"[np.int64(13), np.int64(14), np.int64(47), np.int64(25), np.int64(28), np.int64(19), np.int64(41), np.int64(2), np.int64(44), np.int64(15), np.int64(12), np.int64(6), np.int64(23), np.int64(8), np.int64(3), np.int64(17), np.int64(10), np.int64(30), np.int64(42), np.int64(24), np.int64(20), np.int64(16), np.int64(33), np.int64(34), np.int64(32), np.int64(48), np.int64(5), np.int64(35), np.int64(46), np.int64(37), np.int64(21), np.int64(11), np.int64(27), np.int64(1), np.int64(29), np.int64(9), np.int64(43), np.int64(36), np.int64(31), np.int64(40), np.int64(7), np.int64(22), np.int64(18), np.int64(4), np.int64(0), np.int64(26), np.int64(39), np.int64(38), np.int64(49), np.int64(45)]",geometric,1,0.99,0.001,0.9998178349902243,1,1250
4,200,1638.0284199470395,239,0.02338816700012103,"[np.int64(13), np.int64(14), np.int64(47), np.int64(25), np.int64(28), np.int64(19), np.int64(41), np.int64(10), np.int64(44), np.int64(15), np.int64(12), np.int64(6), np.int64(23), np.int64(8), np.int64(3), np.int64(17), np.int64(49), np.int64(29), np.int64(42), np.int64(20), np.int64(11), np.int64(22), np.int64(33), np.int64(34), np.int64(32), np.int64(48), np.int64(5), np.int64(35), np.int64(46), np.int64(37), np.int64(21), np.int64(2), np.int64(27), np.int64(1), np.int64(30), np.int64(9), np.int64(43), np.int64(36), np.int64(31), np.int64(40), np.int64(7), np.int64(16), np.int64(18), np.int64(4), np.int64(0), np.int64(26), np.int64(39), np.int64(38), np.int64(24), np.int64(45)]",geometric,1,0.99,0.001,0.9997649686908376,1,1250
5,250,1610.5574949504887,292,0.029367166999691108,"[np.int64(13), np.int64(14), np.int64(47), np.int64(11), np.int64(28), np.int64(19), np.int64(41), np.int64(10), np.int64(44), np.int64(15), np.int64(12), np.int64(6), np.int64(3), np.int64(23), np.int64(8), np.int64(17), np.int64(49), np.int64(29), np.int64(42), np.int64(20), np.int64(25), np.int64(22), np.int64(33), np.int64(34), np.int64(32), np.int64(48), np.int64(5), np.int64(35), np.int64(46), np.int64(37), np.int64(21), np.int64(2), np.int64(27), np.int64(1), np.int64(30), np.int64(9), np.int64(43), np.int64(36), np.int64(31), np.int64(40), np.int64(7), np.int64(16), np.int64(18), np.int64(4), np.int64(0), np.int64(26), np.int64(39), np.int64(38), np.int64(24), np.int64(45)]",geometric,1,0.99,0.001,0.9997048936610315,1,1250
6,300,1576.3980827362352,349,0.037145541999962006,"[np.int64(13), np.int64(14), np.int64(12), np.int64(11), np.int64(28), np.int64(19), np.int64(41), np.int64(10), np.int64(44), np.int64(22), np.int64(33), np.int64(6), np.int64(3), np.int64(23), np.int64(8), np.int64(17), np.int64(49), np.int64(29), np.int64(9), np.int64(20), np.int64(25), np.int64(39), np.int64(0), np.int64(34), np.int64(32), np.int64(48), np.int64(5), np.int64(35), np.int64(46), np.int64(37), np.int64(2), np.int64(21), np.int64(27), np.int64(1), np.int64(30), np.int64(42), np.int64(43), np.int64(36), np.int64(31), np.int64(40), np.int64(7), np.int64(16), np.int64(18), np.int64(4), np.int64(47), np.int64(26), np.int64(15), np.int64(38), np.int64(24), np.int64(45)]",geometric,1,0.99,0.001,0.9996267445046112,1,1250
7,350,1566.0204296862205,402,0.04715116700026556,"[np.int64(13), np.int64(14), np.int64(12), np.int64(11), np.int64(28), np.int64(19), np.int64(41), np.int64(10), np.int64(44), np.int64(22), np.int64(33), np.int64(6), np.int64(3), np.int64(23), np.int64(8), np.int64(17), np.int64(49), np.int64(29), np.int64(9), np.int64(20), np.int64(25), np.int64(39), np.int64(0), np.int64(34), np.int64(32), np.int64(48), np.int64(16), np.int64(35), np.int64(46), np.int64(37), np.int64(2), np.int64(21), np.int64(30), np.int64(42), np.int64(27), np.int64(1), np.int64(43), np.int64(36), np.int64(31), np.int64(40), np.int64(7), np.int64(5), np.int64(18), np.int64(4), np.int64(47), np.int64(26), np.int64(15), np.int64(38), np.int64(24), np.int64(45)]",geometric,1,0.99,0.001,0.9995262272015555,1,1250
8,400,1564.0001082667052,453,0.05494816700047522,"[np.int64(13), np.int64(14), np.int64(12), np.int64(11), np.int64(28), np.int64(19), np.int64(32), np.int64(10), np.int64(44), np.int64(22), np.int64(33), np.int64(6), np.int64(3), np.int64(23), np.int64(8), np.int64(17), np.int64(49), np.int64(29), np.int64(9), np.int64(20), np.int64(25), np.int64(39), np.int64(0), np.int64(34), np.int64(41), np.int64(48), np.int64(16), np.int64(35), np.int64(46), np.int64(37), np.int64(2), np.int64(21), np.int64(30), np.int64(42), np.int64(27), np.int64(1), np.int64(43), np.int64(36), np.int64(31), np.int64(40), np.int64(7), np.int64(5), np.int64(18), np.int64(4), np.int64(47), np.int64(26), np.int64(15), np.int64(38), np.int64(24), np.int64(45)]",geometric,1,0.99,0.001,0.9994479049277131,1,1250
9,450,1407.2033449350474,508,0.0675474170002417,"[np.int64(13), np.int64(14), np.int64(12), np.int64(11), np.int64(32), np.int64(19), np.int64(28), np.int64(10), np.int64(44), np.int64(22), np.int64(26), np.int64(6), np.int64(37), np.int64(23), np.int64(8), np.int64(17), np.int64(49), np.int64(29), np.int64(9), np.int64(20), np.int64(25), np.int64(39), np.int64(0), np.int64(34), np.int64(33), np.int64(7), np.int64(16), np.int64(35), np.int64(46), np.int64(3), np.int64(2), np.int64(21), np.int64(30), np.int64(42), np.int64(27), np.int64(1), np.int64(43), np.int64(36), np.int64(31), np.int64(40), np.int64(48), np.int64(5), np.int64(18), np.int64(4), np.int64(47), np.int64(41), np.int64(15), np.int64(38), np.int64(24), np.int64(45)]",geometric,1,0.99,0.001,0.9993213561560824,1,1250
