,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,24.08973559619128,0,0.00011641699984465959,"[np.int64(1), np.int64(4), np.int64(2), np.int64(0), np.int64(3)]",geometric,1,0.99,0.001,0.999998829970737,1,1250
1,50,20.448909199308726,63,0.006022624999786785,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9999394724278998,1,1250
2,100,20.448909199308726,119,0.009997750000366068,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",geometric,1,0.99,0.001,0.999899524302738,1,1250
3,150,20.448909199308726,171,0.01907550000032643,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",geometric,1,0.99,0.001,0.9998083031946043,1,1250
4,200,20.448909199308726,223,0.02365579199977219,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9997622796054935,1,1250
5,250,20.448909199308726,273,0.028494459000285133,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9997136621196014,1,1250
6,300,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
7,350,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
8,400,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
9,450,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
10,500,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
11,550,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
12,600,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
13,650,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
14,700,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
15,750,20.448909199308726,306,0.04163120900011563,"[np.int64(0), np.int64(3), np.int64(4), np.int64(1), np.int64(2)]",geometric,1,0.99,0.001,0.9995816798878282,1,1250
