,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,18.0,0,6.80840003042249e-05,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999993157331648,1,1250
1,50,35.0,55,0.0024837920000209124,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999750373677813,1,1250
2,100,35.0,105,0.0049159170002894825,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999505946036059,1,1250
3,150,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
4,200,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
5,250,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
6,300,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
7,350,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
8,400,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
9,450,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
